text,label,notes
"The atmosphere looked amazing honestly",Reaction,
"It must have been a once in a lifetime experience to be there in person",Reaction,
"There were multiple massive watch parties all over Seattle",Analysis,
"It was an insane probably once in a lifetime experience",Reaction,
"It was incredible",Reaction,
"The crowd was standing the entire game even in the nosebleeds",Analysis,
"The songs and chants were nonstop",Analysis,
"74 degrees and not a cloud in the sky",Analysis,
"The OG seismic events were Huskies games in the 90s",Analysis,
"Taylor Swift concert was an even bigger quake",Analysis,
"That is actually so cool that the stadium is built like that",Reaction,
"I wonder if that ever happens for Seahawks games too",Other,
"Yes, the field does shake often during NFL games",Analysis,
"The beastquake play registered as a minor earthquake",Analysis,
"Lumen Field was specifically constructed with acoustic considerations",Analysis,
"The stadium is specifically designed to be as loud as possible",Analysis,
"The Seahawks have such a great home field advantage",Analysis,
"The crowd pops in the playoff run this year were wild",Reaction,
"It is almost like the Seahawks have an extra defender while playing",Reaction,
"USA has great stadiums",Reaction,
"It has been awesome watching the games and the crowd",Reaction,
"These are not even our biggest stadiums",Analysis,
"I believe it",Reaction,
"I noticed the camera shake when the second goal was ruled offside",Analysis,
"Lumen Field was already one of the loudest stadiums in the country",Analysis,
"That kind of home advantage actually matters in tournament play",Analysis,
"With them winning the group the Round of 16 game will be back in Seattle",Prediction,
"That could end up being the best USMNT atmosphere game of all time",Prediction,
"Can only imagine how loud it would get in Kansas City",Prediction,
"Seattle fans cause Richter scale activity",Reaction,
"We got a beastquake variant for the World Cup yet",Other,
"All three host countries win their second game and all three crowds have been absolutely electric",Analysis,
"Crowd was amazing the entire game",Reaction,
"Happy to see them pull through",Reaction,
"Wait, what did we win",Other,
"The 12",Reaction,
"they are loosing to Ghana today",Prediction,
"Hopefully",Prediction,
"Man i really want england to win",Prediction,
"when Englands fans come together there really isn't anything like it",Reaction,
"They were really happy",Reaction,
"That's so cute",Reaction,
"Why don't they just make this song their national anthem already",Reaction,
"What happened to Sweet Caroline",Other,
"Hate that song",Reaction,
"This sub is making me hate a lot of people",Reaction,
"This singing was so good Liam and Noel started fist fighting on stage again",Reaction,
"Special",Reaction,
"This world cup has brought together lots of people",Analysis,
"I've been very impressed with the football from the yanks",Analysis,
"Is anyone else loving the community of the World Cup",Reaction,
"The people do for the most part",Analysis,
"Experiencing and living this moment was incredible",Reaction,
"Very hard to describe",Reaction,
"Will never forget this",Reaction,
"Beautiful",Reaction,
"American here. This was awesome",Reaction,
"Anyone else get goose bumps watching that",Reaction,
"Yeah and a tear",Reaction,
"Love me footy, love me oasis",Reaction,
"Can someone quickly explain the context please",Other,
"It's a song that everyone in England knows and loves",Analysis,
"Club team supporters, be more like this please",Analysis,
"No one does it like us",Reaction,
"I'm not crying. You're crying",Reaction,
"Why is this so powerful?",Reaction,
"Getting goosebumps bro",Reaction,
"Magic",Reaction,
"Glad we're showing the world the good side of America",Reaction,
"The Brits and the Yanks get on absolutely fine",Analysis,
"The political bullshit is who you guys vote for",Analysis,
"Seeing so many comments from the Asian and Euro fans how nice America has been",Reaction,
"It feels like a safe bet that the US soccer fan community weren't the ones voting him in",Analysis,
"Only redditors would believe citizens are a reflection of their leader",Analysis,
"The media is the real enemy",Analysis,
"England fans are great. Football, boxing, rugby. Always make a top atmosphere",Analysis,
"Must be an insane feeling",Reaction,
"I think this squad could go far",Prediction,
"Don't you fucking do it. Don't give me hope",Reaction,
"It's coming home fellas",Prediction,
"I can't go through it again please",Reaction,
"Moments like this make me so proud of my country",Reaction,
"Petition to replace our national anthem with this",Reaction,
"They are really trying to push Wonderwall as the official song this year",Analysis,
"I got fed up of hearing Sweet Caroline",Reaction,
"Stop it because I'm starting to believe again",Prediction,
"The kid in me still thinks if I believe hard enough it will happen",Prediction,
"If I was a player, I would cry for sure",Reaction,
"At least we're not singing it's coming home anymore",Analysis,
"It's coming home it's coming home",Prediction,
"Eh give them a few more matches",Prediction,
"I want Harry to win so badly",Prediction,
"The man deserves it",Reaction,
"That is pretty cool. Must feel amazing being backed by your country like this",Reaction,
"I hope it doesn't end in tears",Prediction,
"It will but we can enjoy it while it lasts",Prediction,
"It always does but I'm gonna live in hope and ignorance until the time comes",Prediction,
